iter	Passed	Remaining
0	2	213
1	4	201
2	6	197
3	7	184
4	9	182
5	11	178
6	13	176
7	14	172
8	16	170
9	18	168
10	20	167
11	22	165
12	24	163
13	26	161
14	28	159
15	30	157
16	31	156
17	33	154
18	35	152
19	37	150
20	39	148
21	41	146
22	43	144
23	45	142
24	47	141
25	48	139
26	50	135
27	51	132
28	52	128
29	53	124
30	54	120
31	55	117
32	56	114
33	57	111
34	58	108
35	59	105
36	60	102
37	61	99
38	62	97
39	63	94
40	64	92
41	64	88
42	65	86
43	66	84
44	67	82
45	68	79
46	69	77
47	70	75
48	70	73
49	71	71
50	72	70
51	73	68
52	74	66
53	76	65
54	77	63
55	78	61
56	79	59
57	80	58
58	80	56
59	81	54
60	82	52
61	83	51
62	84	49
63	85	47
64	86	46
65	87	44
66	87	43
67	88	41
68	89	40
69	90	38
70	91	37
71	92	35
72	93	34
73	94	33
74	94	31
75	95	30
76	96	28
77	97	27
78	98	26
79	99	24
80	100	23
81	101	22
82	101	20
83	102	19
84	103	18
85	104	17
86	105	15
87	106	14
88	107	13
89	108	12
90	109	10
91	109	9
92	110	8
93	111	7
94	112	5
95	113	4
96	114	3
97	115	2
98	116	1
99	116	0
